# Pin Out For LIFCL-40,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
"# Revision 1.1, May 20, 2020",,,,,,,,,,,,
"#  - Added CSFBGA121, CABGA256 packages",,,,,,,,,,,,
"# Revision 1.2,Oct 26, 2020",,,,,,,,,,,,
#  - Removed references to PMU,,,,,,,,,,,,
"# Revision 1.21, December 29, 2020",,,,,,,,,,,,
# - Removed reference of PMU_EXT_CLK,,,,,,,,,,,,
,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK,Dual Function,LVDS,HIGHSPEED,DQS,CABGA400,CSBGA289,QFN72,CSFBGA121,CABGA256
492,PR26B,-,2,-,Comp_OF_PR26A,-,,M15,H16,-,-,-
493,VSSIO2,VSS,-,-,-,-,,-,-,-,-,-
494,VCCIO2,-,2,-,-,-,,-,-,-,-,-
495,PR24A,-,2,-,True_OF_PR24B,-,,N14,G17,-,-,-
496,PR24B,-,2,-,Comp_OF_PR24A,-,,M14,H17,-,-,-
497,NC,-,-,-,-,-,,-,-,-,-,-
498,NC,-,-,-,-,-,,-,-,-,-,-
499,VSS,-,-,-,-,-,,-,-,-,-,-
501,PR20B,-,1,-,Comp_OF_PR20A,-,,L19,G10,-,-,-
502,VCCAUX,-,-,-,-,-,,-,-,-,-,-
503,VSS,-,-,-,-,-,,-,-,-,-,-
504,NC,-,-,-,-,-,,-,-,-,-,-
505,NC,-,-,-,-,-,,-,-,-,-,-
508,VCCIO1,-,1,-,-,-,,-,-,-,-,-
509,NC,-,-,-,-,-,,-,-,-,-,-
510,NC,-,-,-,-,-,,-,-,-,-,-
511,VSSIO1,VSS,-,-,-,-,,-,-,-,-,-
512,NC,-,-,-,-,-,,-,-,-,-,-
513,NC,-,-,-,-,-,,-,-,-,-,-
516,VCC,-,-,-,-,-,,-,-,-,-,-
517,VCC,-,-,-,-,-,,-,-,-,-,-
518,NC,-,-,-,-,-,,-,-,-,-,-
519,NC,-,-,-,-,-,,-,-,-,-,-
522,VSS,-,-,-,-,-,,-,-,-,-,-
523,VSS,-,-,-,-,-,,-,-,-,-,-
524,NC,-,-,-,-,-,,-,-,-,-,-
525,NC,-,-,-,-,-,,-,-,-,-,-
528,VCC,-,-,-,-,-,,-,-,-,-,-
529,NC,-,-,-,-,-,,-,-,-,-,-
530,NC,-,-,-,-,-,,-,-,-,-,-
531,VSS,-,-,-,-,-,,-,-,-,-,-
534,NC,-,-,-,-,-,,-,-,-,-,-
535,NC,-,-,-,-,-,,-,-,-,-,-
536,NC,-,-,-,-,-,,-,-,-,-,-
537,VSSIO1,VSS,-,-,-,-,,-,-,-,-,-
538,VCC,-,-,-,-,-,,-,-,-,-,-
539,VCCIO1,-,1,-,-,-,,-,-,-,-,-
540,NC,-,-,-,-,-,,-,-,-,-,-
541,NC,-,-,-,-,-,,-,-,-,-,-
544,VSS,-,-,-,-,-,,-,-,-,-,-
545,VSS,-,-,-,-,-,,-,-,-,-,-
546,NC,-,-,-,-,-,,-,-,-,-,-
549,NC,-,-,-,-,-,,-,-,-,-,-
550,VCCAUX,-,-,-,-,-,,-,-,47,-,-
551,NC,-,-,-,-,-,,-,-,-,-,-
552,VCCAUXA,VCCAUX,-,-,-,-,,-,-,47,-,-
553,NC,-,-,-,-,-,,-,-,-,-,-
554,NC,-,-,-,-,-,,-,-,-,-,-
555,VSS,-,-,-,-,-,,-,-,-,-,-
558,NC,-,-,-,-,-,,-,-,-,-,-
559,VCCIO1,-,1,-,-,-,,-,-,49,-,-
560,NC,-,-,-,-,-,,-,-,-,-,-
563,NC,-,-,-,-,-,,-,-,-,-,-
564,NC,-,-,-,-,-,,-,-,-,-,-
565,NC,-,-,-,-,-,,-,-,-,-,-
566,NC,-,-,-,-,-,,-,-,-,-,-
567,NC,-,-,-,-,-,,-,-,-,-,-
568,VSSIO1,VSS,-,-,-,-,,-,-,-,-,-
569,VCC,-,-,-,-,-,,-,-,-,-,-
570,NC,-,-,-,-,-,,-,-,-,-,-
573,VSS,-,-,-,-,-,,-,-,-,-,-
574,NC,-,-,-,-,-,,-,-,-,-,-
575,NC,-,-,-,-,-,,-,-,-,-,-
576,NC,-,-,-,-,-,,-,-,-,-,-
577,NC,-,-,-,-,-,,-,-,-,-,-
578,NC,-,-,-,-,-,,-,-,-,-,-
579,NC,-,-,-,-,-,,-,-,-,-,-
580,VCC,-,-,-,-,-,,-,-,-,-,-
581,VCC,-,-,-,-,-,,-,-,-,-,-
582,VSS,-,-,-,-,-,,-,-,-,-,-
583,VCC,-,-,-,-,-,,-,-,-,-,-
584,VSS,-,-,-,-,-,,-,-,-,-,-
585,VCCIO0,-,0,-,-,-,,-,-,54,-,-
587,VSSIO0,VSS,-,-,-,-,,-,-,-,-,-
588,NC,-,-,-,-,-,,-,-,-,-,-
591,VCC,-,-,-,-,-,,-,-,-,-,-
592,NC,-,-,-,-,-,,-,-,-,-,-
593,NC,-,-,-,-,-,,-,-,-,-,-
595,NC,-,-,-,-,-,,-,-,-,-,-
