# Revision 1.0,,,,,,,,,,,,,,,
"# October 26, 2020",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LIFCL-17,,,,,,,,,LIFCL-40,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,HIGHSPEED,DQS
K13,ADC_DN0,70,-,Comp_OF_ADC_DP0,-,-,,,K13,ADC_DN0,70,-,Comp_OF_ADC_DP0,-,-
K14,ADC_DP0,70,-,True_OF_ADC_DN0,-,-,,,K14,ADC_DP0,70,-,True_OF_ADC_DN0,-,-
K15,ADC_DP1,70,-,True_OF_ADC_DN1,-,-,,,K15,ADC_DP1,70,-,True_OF_ADC_DN1,-,-
K16,ADC_DN1,70,-,Comp_OF_ADC_DP1,-,-,,,K16,ADC_DN1,70,-,Comp_OF_ADC_DP1,-,-
K2,NC,-,-,-,-,-,,,K2,PL34B,6,-,Comp_OF_PL34A,-,-
K3,NC,-,-,-,-,-,,,K3,PL36B,6,-,Comp_OF_PL36A,-,-
K4,NC,-,-,-,-,-,,,K4,PL36A,6,-,True_OF_PL36B,-,-
K5,NC,-,-,-,-,-,,,K5,PL38B,6,-,Comp_OF_PL38A,-,-
K6,NC,-,-,-,-,-,,,K6,PL38A,6,-,True_OF_PL38B,-,-
K7,PB26B,5,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB26A,TRUE,BDQ22,,,K7,PB10B,5,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB10A,TRUE,-
K8,VCCAUXH4,4,-,-,-,-,,,K8,VCCAUXH4,-,-,-,-,-
K9,VCC,-,-,-,-,-,,,K9,VCCECLK,-,-,-,-,-
L1,NC,-,-,-,-,-,,,L1,PL40A,6,-,True_OF_PL40B,-,-
L10,NC,-,-,-,-,-,,,L10,PB80B,3,ADC_CN12,Comp_OF_PB80A,TRUE,BDQ76
L11,NC,-,-,-,-,-,,,L11,PB80A,3,ADC_CP12,True_OF_PB80B,TRUE,BDQ76
L12,NC,-,-,-,-,-,,,L12,PB82B,3,ADC_CN15,Comp_OF_PB82A,TRUE,BDQ76
L13,VSSADC,70,-,-,-,-,,,L13,VSSADC,70,-,-,-,-
L14,VCCADC18,70,-,-,-,-,,,L14,VCCADC18,70,-,-,-,-
L15,ADC_REFP0,70,-,-,-,-,,,L15,ADC_REFP0,70,-,-,-,-
L16,ADC_REFP1,70,-,-,-,-,,,L16,ADC_REFP1,70,-,-,-,-
L2,NC,-,-,-,-,-,,,L2,PL40B,6,-,Comp_OF_PL40A,-,-
L3,PB24B,5,-,Comp_OF_PB24A,TRUE,BDQ22,,,L3,PL47B,6,-,Comp_OF_PL47A,-,-
L4,PB22A,5,-,True_OF_PB22B,TRUE,BDQS22,,,L4,PL46A,6,-,True_OF_PL46B,-,-
L5,PB22B,5,-,Comp_OF_PB22A,TRUE,BDQSN22,,,L5,PL46B,6,-,Comp_OF_PL46A,-,-
L6,PB26A,5,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB26B,TRUE,BDQ22,,,L6,PB10A,5,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB10B,TRUE,-
L7,PB20A,5,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB20B,TRUE,BDQ22,,,L7,PB8A,5,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB8B,TRUE,-
L8,NC,-,-,-,-,-,,,L8,PB34A,4,-,True_OF_PB34B,TRUE,BDQ38
L9,NC,-,-,-,-,-,,,L9,PB34B,4,-,Comp_OF_PB34A,TRUE,BDQ38
M1,NC,-,-,-,-,-,,,M1,PL42A,6,-,True_OF_PL42B,-,-
M10,NC,-,-,-,-,-,,,M10,PB46A,4,-,True_OF_PB46B,TRUE,BDQ38
M11,NC,-,-,-,-,-,,,M11,PB78B,3,ADC_CN11,Comp_OF_PB78A,TRUE,BDQ76
M12,NC,-,-,-,-,-,,,M12,PB78A,3,ADC_CP11,True_OF_PB78B,TRUE,BDQ76
M13,NC,-,-,-,-,-,,,M13,PB82A,3,ADC_CP15,True_OF_PB82B,TRUE,BDQ76
M14,PB68A,3,PCLKT3_3/ADC_CP14,True_OF_PB68B,TRUE,BDQ62,,,M14,PB74A,3,PCLKT3_3/ADC_CP14,True_OF_PB74B,TRUE,BDQ76
M15,PB70B,3,LRC_GPLL0C_IN/VREF3_2,Comp_OF_PB70A,TRUE,BDQ62,,,M15,PB84B,3,LRC_GPLL0C_IN/VREF3_2,Comp_OF_PB84A,TRUE,BDQ76
M16,PB70A,3,LRC_GPLL0T_IN,True_OF_PB70B,TRUE,BDQ62,,,M16,PB84A,3,LRC_GPLL0T_IN,True_OF_PB84B,TRUE,BDQ76
M2,NC,-,-,-,-,-,,,M2,PL42B,6,-,Comp_OF_PL42A,-,-
